OCC_CODE,Title - Alt,Alt_Description,Track
27-3023,"News Analysts, Reporters, and Journalists - News Analyst","Interprets current events, providing in-depth commentary and insight beyond surface reporting.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - News Anchor","Delivers and contextualizes news on live television or radio, often as the central host.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - News Commentator","Provides personal or expert opinions on political, cultural, or economic news events.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - News Correspondent","Delivers live or packaged reports from the field, often on assignment.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - News Reporter","Gathers facts and interviews to craft objective stories on local, national, or global issues.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - News Writer","Writes scripts or copy for anchors, reporters, and digital platforms.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Newspaper Correspondent",Provides local or specialized coverage for newspaper publications.,Journalism
27-3023,"News Analysts, Reporters, and Journalists - Newspaper Journalist","Writes articles for print newspapers, from breaking news to investigative features.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Print Journalist","Creates written content for newspapers, magazines, or newsletters, focusing on factual, well-researched reporting.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Radio News Anchor","Reads news on radio broadcasts, maintaining a professional tone and clear delivery.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Radio News Writer",Scripts news bulletins and audio packages for on-air radio presentation.,Journalism
27-3023,"News Analysts, Reporters, and Journalists - Sports Anchor","Delivers sports coverage and commentary in live broadcasts, often with highlight reels and athlete interviews.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Sports Journalist","Writes and reports on sporting events, teams, and personalities, often attending live games.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Television Anchor","Hosts a televised news program, coordinating with producers and guiding live broadcasts.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Television News Anchor","Leads news programming on television, presenting reports and conducting live interviews.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Television News Reporter","Gathers and reports television news stories, often working from the scene and editing video.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Travel Journalist",Explores global destinations and writes stories that blend cultural insight with travel tips.,Journalism
27-3023,"News Analysts, Reporters, and Journalists - Weather Anchor","Translates complex weather data into viewer-friendly forecasts, often with visual aids and live updates.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Weekend Anchor","Hosts weekend news programming, providing continuity and engagement outside the weekday lineup.",Journalism
27-3041,Editors - Advertising Editor,"Reviews and refines promotional content to ensure clarity, accuracy, and compliance with brand guidelines.",Journalism
27-3041,Editors - Editorial Specialist,"Edits and manages editorial content for style, tone, and factual accuracy across publications.",Journalism
27-3041,Editors - News Editor,"Supervises reporters and curates story lineups, often deciding what gets covered and how.",Journalism
27-3043,Writers and Authors - Advertising Associate,"Assists in writing and editing advertising content, including taglines, scripts, and ad copy.",Journalism
27-3043,Writers and Authors - Advertising Copywriter,Writes persuasive ad copy that aligns with brand voice and drives consumer action.,Journalism
27-3043,Writers and Authors - Advertising Specialist,Crafts targeted messaging for campaigns across traditional and digital platforms.,Journalism
27-3043,Writers and Authors - Advertising Writer,"Composes text for advertisements, promotions, and sponsored content.",Journalism
27-3043,Writers and Authors - Marketing Copywriter,"Creates compelling copy for web, print, and social media to promote products or services.",Journalism
27-3043,Writers and Authors - Marketing Writer,Develops written content that supports sales goals and engages target audiences.,Journalism
27-3043,Writers and Authors - Search Engine Optimization Copywriter,Writes web content optimized for search engines to improve online visibility.,Journalism
27-3043,"Poets, Lyricists and Creative Writers - Editorial Writer",Expresses opinions through columns or essays that engage public discourse.,Journalism
27-3043,"Poets, Lyricists and Creative Writers - Film Writer","Develops screenplays, treatments, or critiques for motion pictures.",Journalism
27-4012,Broadcast Technicians - News Gathering Technician,Operates field equipment to capture audio and video for broadcast news stories.,Journalism
27-4012,Broadcast Technicians - News Production Assistant,"Supports newsroom operations through script formatting, teleprompter management, and studio coordination.",Journalism
27-4021,Photographers - News Photographer,Captures still images that visually document current events for use in journalism.,Journalism
27-4021,Photographers - Photo Journalist,Combines photographic skills with storytelling to convey the emotion and context of news events.,Journalism
27-4031,"Camera Operators, Television, Video, and Film - Electronic News Gathering Camera Operator",Shoots video footage for live or recorded news broadcasts in the field.,Journalism
27-4031,"Camera Operators, Television, Video, and Film - News Camera Operator",Operates professional video cameras to record or stream news coverage on location or in-studio.,Journalism
27-4031,"Camera Operators, Television, Video, and Film - News Camera Person","Captures video of interviews and news events, often under tight deadlines and live conditions.",Journalism
27-4031,"Camera Operators, Television, Video, and Film - News Reel Cameraman","Films news stories traditionally for reels or archives, often emphasizing cinematic techniques.",Journalism
27-4031,"Camera Operators, Television, Video, and Film - News Videographer",Combines camera operation and basic editing to produce broadcast-ready footage.,Journalism
27-4031,"Camera Operators, Television, Video, and Film - Television News Photographer",Shoots and edits footage specifically for television newscasts.,Journalism
27-4032,Film and Video Editors - Digital Media Coordinator,Manages and edits digital assets for distribution across websites and social platforms.,Journalism
27-4032,Film and Video Editors - Electronic News Gathering Editor,Edits field footage into polished packages for timely news broadcast.,Journalism
27-4032,Film and Video Editors - Film Editor,"Cuts and sequences film footage to build cohesive stories, often for entertainment or documentaries.",Journalism
27-4032,Film and Video Editors - News Editor,"Edits video segments for newscasts, syncing footage, voiceovers, and graphics.",Journalism
27-4032,Film and Video Editors - News Video Editor,"Crafts clean, informative video packages from raw news footage under deadline pressure.",Journalism
27-4032,Film and Video Editors - News Videotape Editor,Assembles and formats broadcast-ready news segments from recorded tape or digital sources.,Journalism
27-4032,Film and Video Editors - Television News Video Editor,"Edits content specifically for television news, ensuring narrative clarity and visual coherence.",Journalism
27-4032,Film and Video Editors - Video Production Editor,"Edits a range of video content, from promotional clips to interviews and event coverage.",Journalism
43-9081,Proofreaders and Copy Markers - Editorial Assistant,"Provides editing and administrative support in newsrooms or publishing, including proofreading and content tracking.",Journalism
43-9081,Proofreaders and Copy Markers - News Copy Editor,"Edits news stories for grammar, style, and accuracy before publication or broadcast.",Journalism
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes - Film Booker",Coordinates film distribution by securing screenings at theaters and negotiating with exhibitors on behalf of studios or artists.,Media Production
15-1299,Digital Forensics Analysts - Cyber Digital Media Analyst,Investigates cybercrime by analyzing multimedia content and metadata within digital forensic cases.,Media Production
15-1299,Digital Forensics Analysts - Digital Media Analyst,"Examines digital content trends, usage patterns, and user engagement across multimedia platforms for research or security.",Media Production
17-3029,Photonics Technicians - Thin Film Technician,"Operates precision equipment to deposit and test thin film coatings used in optics, electronics, and display technologies.",Media Production
25-4031,Library Technicians - Library Media Technician,"Maintains media collections, supports patrons with digital tools, and manages equipment within library systems.",Media Production
25-4031,Library Technicians - Media Center Specialist,"Oversees school or institutional media centers, facilitating access to educational technology and audiovisual materials.",Media Production
25-4031,Library Technicians - Media Specialist,"Curates and circulates media resources in educational or public libraries, assisting users with equipment and databases.",Media Production
27-1011,Art Directors - Graphic Design and Art Production Manager,Leads teams of designers and production staff to execute visual projects from concept through final output.,Media Production
27-1014,Special Effects Artists and Animators - Animation Artist,"Creates frame-by-frame or computer-generated visuals that bring characters, environments, or objects to life.",Media Production
27-1014,Special Effects Artists and Animators - Animation Producer,"Oversees the production timeline and resources for animation projects, coordinating creative and technical teams.",Media Production
27-1014,Special Effects Artists and Animators - Digital Media Designer,"Designs engaging visual content for web, video, mobile, and interactive platforms using multimedia tools.",Media Production
27-1014,Special Effects Artists and Animators - Digital Media Specialist,"Develops and manages digital content strategies for media campaigns, training, or branded communications.",Media Production
27-1014,Special Effects Artists and Animators - Interactive Digital Media Specialist,"Builds interactive visual experiences like apps, games, or AR/VR environments for entertainment or education.",Media Production
27-1014,Special Effects Artists and Animators - Media Designer,"Crafts multimedia visuals that combine text, imagery, animation, and interactivity to support storytelling or marketing.",Media Production
27-1014,Special Effects Artists and Animators - Media Producer,"Plans and executes multimedia productions including animation sequences, coordinating teams and assets.",Media Production
27-2012,Producers and Directors - Animation Director,"Guides the artistic and narrative direction of animated productions, ensuring consistency in tone and style.",Media Production
27-2012,Producers and Directors - Animation Producer,"Manages the business side of animation projects, including staffing, budgeting, and delivery.",Media Production
27-2012,Producers and Directors - Digital Media Manager,"Directs digital media operations, from content strategy to asset management, for creative or corporate environments.",Media Production
27-2012,Producers and Directors - Digital Media Producer,"Develops, produces, and delivers digital-first content such as podcasts, videos, and interactive media.",Media Production
27-2012,Producers and Directors - Film Maker,"Independently creates films from concept to post-production, often serving as writer, director, and producer.",Media Production
27-2012,Producers and Directors - Film Producer,"Secures funding, assembles crews, and oversees all phases of film production to bring a script to screen.",Media Production
27-2012,Producers and Directors - Independent Film Maker,"Creates films outside traditional studio systems, often on tight budgets and with strong personal vision.",Media Production
27-2012,Producers and Directors - Media Manager,"Supervises multimedia operations, handling content creation, project workflows, and digital archiving.",Media Production
27-2012,Producers and Directors - Media Producer,"Manages the production of multimedia content, from videos to interactive exhibits, across diverse platforms.",Media Production
27-2012,Media Programming Directors - Media Coordinator,Schedules programming and manages media logistics to ensure smooth content delivery across platforms.,Media Production
27-2012,Media Technical Directors/Managers - Test Editing Director,Oversees the review and quality control of edited video content before final broadcast or release.,Media Production
27-2041,Music Directors and Composers - Film Composer,"Writes original musical scores tailored to film narratives, collaborating closely with directors and editors.",Media Production
27-4011,Audio and Video Technicians - Media Technician,"Installs, troubleshoots, and operates audio-visual equipment for live and recorded media events.",Media Production
27-4011,Audio and Video Technicians - Video Production Assistant,"Assists with video shoots and post-production, handling equipment setup and file organization.",Media Production
27-4011,Audio and Video Technicians - Video Production Specialist,"Plans, shoots, and edits professional video content for marketing, training, or entertainment purposes.",Media Production
27-4012,Broadcast Technicians - Media Technician,Supports broadcast operations by managing transmission systems and ensuring content integrity.,Media Production
27-4012,Broadcast Technicians - Video Production Assistant,Provides support on live or recorded broadcasts through equipment handling and logistics.,Media Production
27-4014,Sound Engineering Technicians - Film Recordist,"Captures location audio on film sets, ensuring clean sound for dialogue and ambient scenes.",Media Production
27-4014,Sound Engineering Technicians - Film Sound Coordinator,"Manages all aspects of film audio logistics, from on-set recording to post-production sound design.",Media Production
27-4014,Sound Engineering Technicians - Film Sound Engineer,"Mixes and masters audio tracks for film, integrating dialogue, sound effects, and music with cinematic precision.",Media Production
27-4031,"Camera Operators, Television, Video, and Film - Animation Camera Operator",Operates specialized cameras to capture stop-motion or traditional animation frames.,Media Production
43-1011,First-Line Supervisors of Office and Administrative Support Workers - Film Vault Supervisor,"Manages storage and preservation of physical film reels, ensuring proper cataloging and environmental conditions.",Media Production
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers - Broadcasting Equipment Mechanic","Installs, maintains, and repairs transmitters, antennas, and audio-video equipment in broadcast facilities.",Media Production
49-9061,Camera and Photographic Equipment Repairers - Photography Equipment Technician,"Repairs and calibrates professional photographic gear including lenses, flashes, and digital cameras.",Media Production
51-1011,First-Line Supervisors of Production and Operating Workers - Film Processing Shift Supervisor,Oversees staff and workflow for chemical or digital film development during assigned production shifts.,Media Production
51-1011,First-Line Supervisors of Production and Operating Workers - Film Processing Supervisor,"Manages overall film lab operations, ensuring quality control and processing standards are met.",Media Production
51-5111,Prepress Technicians and Workers - Printing and Publishing Hand Etcher,Manually carves or etches images or text onto printing plates for specialty publications or art prints.,Media Production
51-5111,Prepress Technicians and Workers - Printing and Publishing Plate Finisher,"Prepares metal or polymer plates for printing by cleaning, coating, and inspecting final surfaces.",Media Production
51-5111,Prepress Technicians and Workers - Printing Film Stripper,Assembles film negatives or positives into composite layouts for offset printing plate creation.,Media Production
